ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,1,0.4922,0.4975,140404,27.822,11.858,1
1,1,3,0.4960,0.4989,140424,64.812,13.048,1
2,0,6,0.4879,0.4987,140418,120.820,12.240,1
3,1,2,0.4910,0.5008,140425,44.795,12.624,1
4,0,1,0.4943,0.4998,140410,27.112,12.181,1
5,1,2,0.4880,0.4986,140425,46.292,12.666,1
6,0,1,0.4896,0.5023,140461,26.809,12.493,1
7,1,2,0.4920,0.4992,140435,45.478,12.486,1
8,0,12,0.4917,0.4998,140439,232.701,13.281,1
9,1,3,0.4879,0.4988,140418,71.962,13.770,1
10,0,2,0.4928,0.5023,140469,46.637,12.414,1
11,1,5,0.4929,0.4999,140439,105.958,12.441,1
12,0,3,0.4907,0.5013,140467,69.771,13.026,1
13,1,1,0.4920,0.5006,140434,27.113,17.513,1
14,0,1,0.4894,0.4989,140402,27.621,12.126,1
15,1,1,0.4911,0.4976,140398,27.080,12.329,1
16,0,1,0.4871,0.5005,140454,28.995,20.772,1
17,1,3,0.4941,0.4979,140424,82.841,23.196,1
18,0,1,0.4843,0.5006,140426,33.420,11.958,1
19,1,2,0.4932,0.5000,140425,44.100,12.511,1
20,0,7,0.4982,0.5010,140444,135.631,12.602,1
21,1,5,0.4908,0.4974,140391,99.326,13.911,1
22,0,6,0.4929,0.4973,140414,122.700,12.347,1
23,1,1,0.4847,0.5020,140449,43.405,16.371,1
24,0,5,0.4936,0.5017,140461,113.464,13.808,1
25,1,4,0.4958,0.4996,140436,82.564,11.970,1
26,0,2,0.4883,0.5004,140433,44.838,13.989,1
27,1,1,0.4853,0.5039,140485,45.193,20.021,1
28,0,2,0.4890,0.4991,140424,56.249,12.291,1
29,1,1,0.4932,0.5041,140484,26.280,12.442,1
30,0,2,0.4900,0.4982,140408,44.466,12.710,1
31,1,1,0.4865,0.4969,140385,26.720,12.785,1
32,0,1,0.4888,0.4997,140419,26.899,14.176,1
33,1,2,0.4898,0.4989,140421,53.987,12.009,1
34,0,1,0.4910,0.5019,140464,27.058,14.234,1
35,1,3,0.4920,0.4991,140401,65.436,13.158,1
36,0,2,0.4904,0.5003,140432,50.511,14.093,1
37,1,1,0.4859,0.5000,140426,29.111,11.790,1
38,0,2,0.4860,0.4997,140436,47.345,13.472,1
39,1,1,0.4893,0.4971,140402,29.766,15.556,1
40,0,1,0.4949,0.5005,140437,29.464,13.752,1
41,1,1,0.4905,0.4988,140442,28.128,12.777,1
42,0,6,0.4892,0.5025,140469,153.088,12.566,1
43,1,1,0.4925,0.4987,140411,27.918,13.215,1
44,0,5,0.4884,0.5011,140453,100.385,11.752,1
45,1,3,0.4913,0.4987,140406,62.137,12.237,1
46,0,3,0.4929,0.5022,140456,62.245,12.901,1
47,1,2,0.4903,0.5024,140469,45.841,12.209,1
48,0,2,0.4958,0.4994,140410,45.126,12.588,1
49,1,1,0.4899,0.5006,140447,26.317,12.831,1
50,0,2,0.4948,0.5012,140452,44.963,12.657,1
51,1,1,0.4975,0.5004,140449,26.221,12.109,1
52,0,3,0.4877,0.5013,140448,61.279,12.182,1
53,1,1,0.4973,0.4986,140412,26.490,13.496,1
54,0,4,0.4915,0.5068,140514,84.015,12.257,1
55,1,1,0.4820,0.4958,140384,26.052,12.421,1
56,0,15,0.4889,0.4996,140431,293.416,12.360,1
57,1,5,0.4870,0.5039,140473,102.227,12.826,1
58,0,2,0.4907,0.4995,140434,48.504,12.438,1
59,1,2,0.4905,0.5032,140466,45.652,12.932,1
60,0,3,0.4910,0.4989,140426,62.352,12.244,1
61,1,8,0.4972,0.4981,140415,154.846,12.166,1
62,0,1,0.4886,0.4986,140391,25.556,12.246,1
63,1,3,0.4887,0.4978,140402,62.450,12.274,1
64,0,7,0.4959,0.5027,140453,137.198,12.284,1
65,1,1,0.4852,0.4956,140370,27.301,13.706,1
66,0,5,0.4944,0.4997,140438,101.883,12.816,1
67,1,1,0.4872,0.4995,140409,28.261,12.507,1
68,0,12,0.4905,0.5004,140433,228.810,14.040,1
69,1,1,0.4822,0.4997,140431,49.415,22.520,1
70,0,1,0.4884,0.5001,140432,42.986,22.767,1
71,1,18,0.4969,0.4986,140414,347.518,12.377,1
72,0,5,0.4939,0.5017,140460,99.139,12.008,1
73,1,2,0.4955,0.4979,140406,44.542,12.537,1
74,0,6,0.4902,0.5000,140428,125.068,13.708,1
75,1,1,0.4914,0.5002,140443,28.349,12.611,1
76,0,1,0.4886,0.5004,140439,27.234,13.073,1
77,1,9,0.4961,0.5010,140424,196.940,12.536,1
78,0,2,0.4932,0.4975,140419,68.421,12.253,1
79,1,1,0.4893,0.4985,140409,26.844,12.579,1
80,0,3,0.4955,0.5000,140446,66.509,12.868,1
81,1,4,0.4975,0.4968,140399,92.335,12.587,1
82,0,2,0.4954,0.5049,140508,46.908,13.369,1
83,1,4,0.4898,0.4995,140426,86.861,14.732,1
84,0,6,0.4921,0.4943,140366,120.344,12.370,1
85,1,1,0.4930,0.5005,140434,25.607,12.635,1
86,0,1,0.4865,0.5000,140429,26.359,13.486,1
87,1,1,0.4908,0.5022,140474,25.986,14.208,1
88,0,3,0.4931,0.4999,140427,81.523,12.983,1
89,1,1,0.4842,0.4982,140419,26.358,12.606,1
90,0,2,0.4900,0.4986,140418,46.146,12.363,1
91,1,1,0.4894,0.4974,140394,26.387,16.007,1
92,0,1,0.4901,0.4968,140378,41.367,19.337,1
93,1,6,0.5019,0.5006,140443,121.728,12.125,1
94,0,6,0.4901,0.4982,140408,120.357,12.460,1
95,1,1,0.4848,0.4995,140418,29.184,12.249,1
96,0,1,0.4872,0.5003,140439,33.859,13.467,1
97,1,3,0.4943,0.4990,140436,63.176,12.256,1
98,0,3,0.4925,0.4982,140425,66.229,12.567,1
99,1,1,0.4877,0.4998,140427,26.047,12.381,1
100,0,3,0.4888,0.5004,140438,62.673,12.025,1
101,1,2,0.4857,0.5011,140458,43.839,12.216,1
102,0,3,0.4890,0.5025,140481,62.954,11.950,1
103,1,3,0.4883,0.4972,140376,62.553,11.960,1
104,0,3,0.4880,0.4985,140406,62.171,12.300,1
105,1,3,0.4944,0.5015,140433,64.013,12.252,1
106,0,4,0.4962,0.5015,140443,85.091,12.151,1
