T-EVOLVE benchmarks | cpu: Intel(R) Xeon(R) Processor @ 2.10GHz | compiler: 13.3.0 | flags: cc -O3 -march=native | commit: cbc1280 | seed: 1
micro        ntt_forward                        log2q=42.0 d=7 mu=15                 3.3419 us     (IQR 3.2647-3.3936, n=30)
micro        product_ntt_domain                 log2q=42.0 d=7 mu=15                 8.3974 us     (IQR 8.1678-9.1508, n=30)
micro        commitment (C r + m)               log2q=42.0 d=7 mu=15               840.8860 us     (IQR 819.3230-876.1810, n=30)
micro        gauss_vector sigma=1 (mu*N)        log2q=42.0 d=7 mu=15               135.3390 us     (IQR 134.4570-143.1600, n=30)
micro        gauss_vector sigma_J (mu*N)        log2q=42.0 d=7 mu=15               498.5670 us     (IQR 486.0570-514.7780, n=30)
micro        shake256_1KiB                      log2q=42.0 d=7 mu=15                 6.0451 us     (IQR 5.9824-6.1214, n=30)
ballot       vote (incl. all attempts)          T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0        30.8268 ms     (IQR 19.1145-43.0468, n=30)
ballot       decode+verify                      T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         9.0734 ms     (IQR 8.9247-9.2262, n=30)
ballot       check_share (one authority)        T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         1.1243 ms     (IQR 1.1074-1.2075, n=30)
ballot       attempts (mean)                    T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         2.4333 count  (IQR 2.4333-2.4333, n=1)
ballot       ballot size                        T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0       107.7520 KiB    (IQR 107.7412-107.7715, n=30)
ballot         of which proof                   T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0        55.1191 KiB    (IQR 55.1084-55.1387, n=30)
ballot         of which commitments             T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0        52.5000 KiB    (IQR 52.5000-52.5000, n=30)
ballot       all verified                       T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
ballot       vote (incl. all attempts)          T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0        41.5508 ms     (IQR 25.7822-74.0028, n=30)
ballot       decode+verify                      T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0        12.5537 ms     (IQR 12.4125-12.8222, n=30)
ballot       check_share (one authority)        T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0         1.3096 ms     (IQR 1.2613-1.3700, n=30)
ballot       attempts (mean)                    T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0         2.4667 count  (IQR 2.4667-2.4667, n=1)
ballot       ballot size                        T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0       135.7412 KiB    (IQR 135.7246-135.7549, n=30)
ballot         of which proof                   T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0        76.5459 KiB    (IQR 76.5293-76.5596, n=30)
ballot         of which commitments             T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0        59.0625 KiB    (IQR 59.0625-59.0625, n=30)
ballot       all verified                       T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
ballot       vote (incl. all attempts)          T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0        31.4230 ms     (IQR 19.3084-79.1751, n=30)
ballot       decode+verify                      T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0        10.4620 ms     (IQR 10.3352-11.1196, n=30)
ballot       check_share (one authority)        T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0         1.1279 ms     (IQR 1.0871-1.1771, n=30)
ballot       attempts (mean)                    T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0         2.8667 count  (IQR 2.8667-2.8667, n=1)
ballot       ballot size                        T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0       126.3018 KiB    (IQR 126.2900-126.3164, n=30)
ballot         of which proof                   T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0        63.1377 KiB    (IQR 63.1260-63.1523, n=30)
ballot         of which commitments             T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0        63.0000 KiB    (IQR 63.0000-63.0000, n=30)
ballot       all verified                       T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
ballot       vote (incl. all attempts)          EVOLVE n=4 L=1 d=7 log2q=42.0        11.5707 ms     (IQR 8.6194-18.5424, n=30)
ballot       verify                             EVOLVE n=4 L=1 d=7 log2q=42.0         2.6121 ms     (IQR 2.5548-2.6897, n=30)
ballot       attempts (mean)                    EVOLVE n=4 L=1 d=7 log2q=42.0         2.7333 count  (IQR 2.7333-2.7333, n=1)
ballot       ballot size                        EVOLVE n=4 L=1 d=7 log2q=42.0        58.1025 KiB    (IQR 58.0947-58.1133, n=30)
ballot       all verified                       EVOLVE n=4 L=1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
T-EVOLVE benchmarks | cpu: Intel(R) Xeon(R) Processor @ 2.10GHz | compiler: 13.3.0 | flags: cc -O3 -march=native | commit: cbc1280 | seed: 1
aggregation: fanin=30 k=500 ell=517 kappa=4 C2=signed logQ=64 E=6 (open 3, zero 3) nodes=1037
  T1=2^16.99 T2=2^17.06 sigma1=2^21.44 sigma2=2^21.51
agg          blocks E                           NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         6.0000 count  (IQR 6.0000-6.0000, n=1)
agg          rounds until t succeeded           NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.0000 count  (IQR 1.0000-1.0000, n=1)
agg          round 1 per authority per round    NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        24.6367 s      (IQR 24.6367-24.6367, n=1)
agg          round 2 per authority per round    NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         6.2374 s      (IQR 6.2374-6.2374, n=1)
agg          round 2 per attempt                NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         4.1583 s      (IQR 4.1583-4.1583, n=1)
agg          round 1 per block per attempt      NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.0265 s      (IQR 1.0265-1.0265, n=1)
agg          round 2 per block per attempt      NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.6930 s      (IQR 0.6930-0.6930, n=1)
agg          VerAgg per authority               NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         4.6338 s      (IQR 4.6338-4.6338, n=1)
agg          VerAgg per block                   NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.7723 s      (IQR 0.7723-0.7723, n=1)
agg          Combine                            NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.0079 ms     (IQR 0.0079-0.0079, n=1)
agg          published round 1 per authority per round NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed       389.9375 KiB    (IQR 389.9375-389.9375, n=1)
agg          published round 2 per successful authority NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed     46335.1790 KiB    (IQR 46335.1790-46335.1790, n=1)
agg          published per ballot per authority NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        46.7251 KiB    (IQR 46.7251-46.7251, n=1)
agg          responses of non-aborting attempts in rounds that failed (not published: fewer than t announced) NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.0000 KiB    (IQR 0.0000-0.0000, n=1)
agg          tally correct and all VerAgg ok    NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.0000 bool   (IQR 1.0000-1.0000, n=1)
T-EVOLVE benchmarks | cpu: Intel(R) Xeon(R) Processor @ 2.10GHz | compiler: 13.3.0 | flags: cc -O3 -march=native | commit: cbc1280 | seed: 1
aggregation: fanin=30 k=500 ell=517 kappa=4 C2=signed logQ=64 E=24 (open 21, zero 3) nodes=10347
  T1=2^18.63 T2=2^18.69 sigma1=2^23.08 sigma2=2^23.14
agg          blocks E                           NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        24.0000 count  (IQR 24.0000-24.0000, n=1)
agg          rounds until t succeeded           NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.0000 count  (IQR 1.0000-1.0000, n=1)
agg          round 1 per authority per round    NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed       130.6804 s      (IQR 130.6804-130.6804, n=1)
agg          round 2 per authority per round    NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        81.7058 s      (IQR 81.7058-81.7058, n=1)
agg          round 2 per attempt                NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        27.2353 s      (IQR 27.2353-27.2353, n=1)
agg          round 1 per block per attempt      NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.3613 s      (IQR 1.3613-1.3613, n=1)
agg          round 2 per block per attempt      NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.1348 s      (IQR 1.1348-1.1348, n=1)
agg          VerAgg per authority               NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        29.2040 s      (IQR 29.2040-29.2040, n=1)
agg          VerAgg per block                   NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.2168 s      (IQR 1.2168-1.2168, n=1)
agg          Combine                            NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.0059 ms     (IQR 0.0059-0.0059, n=1)
agg          published round 1 per authority per round NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed      3644.9375 KiB    (IQR 3644.9375-3644.9375, n=1)
agg          published round 2 per successful authority NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed    275352.4242 KiB    (IQR 275352.4242-275352.4242, n=1)
agg          published per ballot per authority NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        27.8997 KiB    (IQR 27.8997-27.8997, n=1)
agg          responses of non-aborting attempts in rounds that failed (not published: fewer than t announced) NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.0000 KiB    (IQR 0.0000-0.0000, n=1)
agg          tally correct and all VerAgg ok    NV=10000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.0000 bool   (IQR 1.0000-1.0000, n=1)
