ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,1,0.4643,0.5023,468854,89.041,61.785,1
1,0,2,0.4646,0.5004,468845,214.302,54.910,1
2,1,1,0.4711,0.5019,468859,88.376,48.001,1
3,0,1,0.4717,0.4984,468784,88.632,50.345,1
4,0,6,0.4667,0.4998,468818,504.527,48.337,1
5,0,1,0.4661,0.5003,468832,98.024,47.363,1
6,0,1,0.4719,0.5001,468826,87.563,50.723,1
7,0,1,0.4617,0.5005,468821,85.983,49.863,1
8,0,3,0.4726,0.4986,468774,222.578,49.735,1
9,0,1,0.4737,0.4992,468798,89.088,49.637,1
10,0,2,0.4698,0.4992,468795,159.324,49.770,1
11,0,2,0.4704,0.5013,468829,158.016,49.015,1
12,1,1,0.4674,0.4986,468773,87.018,50.092,1
13,0,1,0.4644,0.5006,468817,86.964,48.620,1
14,0,7,0.4704,0.4983,468733,518.896,50.483,1
15,0,3,0.4727,0.5017,468847,226.572,51.161,1
16,0,4,0.4685,0.4988,468763,295.764,49.384,1
17,0,4,0.4694,0.5001,468808,295.441,47.455,1
18,0,1,0.4751,0.4994,468794,89.833,48.598,1
19,0,3,0.4721,0.5000,468814,227.792,50.505,1
20,0,3,0.4650,0.5016,468837,226.967,47.598,1
21,0,2,0.4700,0.4998,468787,155.717,48.928,1
22,1,1,0.4688,0.4991,468760,88.686,58.419,1
23,0,9,0.4694,0.5007,468805,638.016,48.216,1
24,0,1,0.4693,0.4993,468777,90.783,49.735,1
25,0,3,0.4693,0.4987,468753,228.355,50.402,1
26,0,6,0.4697,0.4994,468777,447.688,50.356,1
27,0,3,0.4733,0.4997,468782,227.712,47.062,1
28,0,4,0.4677,0.5008,468843,291.741,47.952,1
29,0,2,0.4736,0.4998,468795,156.746,48.677,1
30,0,1,0.4693,0.4999,468794,86.862,48.254,1
31,0,1,0.4676,0.4983,468764,86.302,48.477,1
32,1,2,0.4718,0.5002,468816,155.743,49.110,1
33,0,1,0.4662,0.4988,468771,88.772,50.561,1
34,0,1,0.4612,0.5005,468818,87.117,48.451,1
35,0,2,0.4749,0.4992,468784,155.674,49.428,1
36,0,1,0.4741,0.5012,468874,88.373,47.976,1
37,0,9,0.4724,0.5006,468827,649.843,50.544,1
38,0,4,0.4662,0.5019,468869,301.561,49.142,1
39,0,2,0.4696,0.4987,468746,158.341,49.974,1
40,0,5,0.4689,0.5005,468814,368.093,48.238,1
41,0,1,0.4736,0.5015,468839,89.157,49.981,1
42,1,4,0.4707,0.5004,468826,298.939,49.190,1
43,0,9,0.4686,0.5013,468858,644.320,50.442,1
44,0,2,0.4688,0.5004,468793,158.602,49.331,1
45,0,6,0.4748,0.4990,468783,437.631,50.187,1
46,0,1,0.4650,0.4998,468799,88.957,49.205,1
47,0,5,0.4775,0.5020,468843,369.447,50.957,1
48,0,2,0.4688,0.5012,468839,159.096,49.440,1
49,0,4,0.4706,0.5011,468856,304.926,48.247,1
50,0,1,0.4669,0.4998,468808,86.626,48.953,1
51,0,2,0.4648,0.5003,468821,157.437,47.654,1
52,1,2,0.4698,0.5003,468798,157.363,48.646,1
53,0,1,0.4646,0.4993,468780,88.476,48.289,1
54,0,2,0.4702,0.4983,468771,157.978,47.707,1
55,0,5,0.4728,0.5003,468823,367.531,48.838,1
56,0,4,0.4669,0.4987,468784,293.445,48.086,1
57,0,1,0.4683,0.4988,468760,88.700,49.035,1
58,0,4,0.4675,0.5005,468810,297.797,47.341,1
59,0,1,0.4738,0.5014,468849,87.003,49.063,1
60,0,2,0.4668,0.4999,468796,156.916,50.126,1
61,0,1,0.4684,0.4997,468799,87.694,48.821,1
62,1,3,0.4713,0.4980,468765,225.449,49.798,1
63,0,2,0.4681,0.4999,468799,156.238,48.312,1
64,0,5,0.4744,0.4996,468813,364.170,47.604,1
65,0,1,0.4612,0.4978,468751,87.166,48.901,1
66,0,5,0.4722,0.4994,468787,376.255,49.118,1
67,0,1,0.4664,0.4997,468780,87.031,46.970,1
68,0,5,0.4667,0.4991,468737,362.690,48.320,1
69,0,1,0.4707,0.5013,468813,87.082,48.923,1
70,0,1,0.4634,0.4992,468783,87.253,47.554,1
71,0,1,0.4699,0.4992,468767,88.059,50.478,1
72,1,7,0.4659,0.4995,468753,502.115,47.438,1
73,0,1,0.4665,0.5009,468832,87.896,47.400,1
74,0,1,0.4728,0.4984,468754,88.273,47.335,1
75,0,3,0.4810,0.4986,468762,229.856,50.101,1
76,0,2,0.4721,0.4998,468807,155.971,47.672,1
77,0,1,0.4696,0.5000,468807,88.574,48.259,1
78,0,1,0.4708,0.4996,468811,87.372,48.724,1
79,0,1,0.4728,0.5000,468788,87.653,46.698,1
80,0,6,0.4706,0.5003,468808,428.670,50.195,1
81,0,1,0.4702,0.5007,468844,87.202,50.423,1
82,1,2,0.4712,0.5017,468842,156.331,48.823,1
83,0,2,0.4670,0.5003,468815,157.970,48.846,1
84,0,3,0.4692,0.5011,468816,240.331,47.422,1
85,0,2,0.4737,0.5007,468821,157.995,48.395,1
86,0,3,0.4731,0.4998,468790,226.700,47.970,1
87,0,4,0.4688,0.4994,468790,296.511,48.623,1
88,0,1,0.4710,0.5000,468787,87.132,47.637,1
89,0,1,0.4707,0.5006,468818,88.658,48.143,1
90,0,3,0.4657,0.5003,468809,225.066,47.544,1
91,0,3,0.4713,0.5017,468868,225.201,50.163,1
92,1,4,0.4753,0.5004,468802,295.937,47.060,1
93,0,2,0.4749,0.5005,468840,157.214,48.270,1
94,0,2,0.4649,0.5004,468814,156.240,48.614,1
95,0,3,0.4706,0.5011,468823,224.954,47.324,1
96,0,1,0.4680,0.5002,468800,87.659,49.937,1
97,0,4,0.4652,0.5016,468820,292.107,50.870,1
98,0,1,0.4687,0.5014,468862,87.925,47.498,1
99,0,6,0.4709,0.5007,468805,444.820,49.565,1
100,0,4,0.4738,0.5020,468869,296.281,49.719,1
101,0,5,0.4744,0.4999,468799,361.571,49.727,1
102,1,10,0.4711,0.5000,468816,717.856,48.518,1
103,0,2,0.4710,0.5001,468808,157.728,49.807,1
104,0,3,0.4713,0.4994,468787,226.923,48.568,1
105,0,2,0.4684,0.5002,468830,159.017,50.426,1
106,0,3,0.4707,0.4998,468803,227.125,48.869,1
107,0,2,0.4733,0.5001,468813,158.022,49.308,1
108,0,4,0.4655,0.5011,468838,298.454,50.520,1
109,0,1,0.4736,0.4996,468780,87.876,48.267,1
110,0,8,0.4681,0.4988,468768,569.404,48.640,1
111,0,2,0.4668,0.4993,468779,167.913,49.803,1
112,1,5,0.4650,0.4997,468802,362.019,48.169,1
113,0,1,0.4742,0.4997,468789,85.681,50.887,1
114,0,2,0.4685,0.5002,468791,155.902,47.041,1
115,0,2,0.4705,0.4998,468771,156.345,48.841,1
116,0,1,0.4737,0.5005,468805,86.998,47.686,1
117,0,6,0.4702,0.4994,468764,433.464,48.619,1
118,0,3,0.4713,0.4995,468759,225.438,48.426,1
119,0,1,0.4743,0.4995,468793,86.853,49.477,1
120,0,5,0.4776,0.5004,468813,367.488,47.174,1
121,0,1,0.4707,0.5003,468804,87.674,50.191,1
122,1,3,0.4672,0.5010,468815,223.741,49.506,1
