ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,6,0.5160,0.5003,111496,53.308,6.944,1
1,1,1,0.5131,0.4981,111486,13.741,6.922,1
2,0,1,0.5143,0.5014,111512,13.174,6.956,1
3,1,4,0.5191,0.5033,111517,36.101,4.935,1
4,0,1,0.5163,0.5003,111487,11.775,6.628,1
5,1,8,0.5235,0.4999,111476,68.639,6.661,1
6,0,5,0.5167,0.4978,111462,42.285,5.271,1
7,1,6,0.5121,0.4977,111461,47.467,6.581,1
8,0,2,0.5106,0.4973,111469,21.054,6.105,1
9,1,8,0.5166,0.5027,111511,59.313,6.267,1
10,0,6,0.5178,0.4995,111481,51.998,6.698,1
11,1,1,0.5090,0.4979,111463,11.849,6.892,1
12,0,2,0.5121,0.5003,111485,19.627,6.929,1
13,1,1,0.5080,0.4982,111476,11.925,5.617,1
14,0,4,0.5133,0.5002,111488,32.211,6.384,1
15,1,2,0.5178,0.4969,111453,20.123,7.583,1
16,0,1,0.5172,0.4948,111417,11.318,6.487,1
17,1,1,0.5121,0.5001,111496,13.343,6.663,1
18,0,2,0.5140,0.5032,111515,18.683,5.739,1
19,1,4,0.5177,0.5007,111483,35.640,6.403,1
20,0,1,0.5138,0.4995,111486,10.478,5.700,1
21,1,4,0.5133,0.4998,111463,34.893,6.007,1
22,0,1,0.5120,0.5037,111535,12.816,6.046,1
23,1,1,0.5089,0.4968,111454,12.495,5.917,1
24,0,2,0.5128,0.4995,111482,18.282,5.689,1
25,1,2,0.5196,0.5003,111478,19.996,5.359,1
26,0,1,0.5137,0.4961,111447,12.395,6.828,1
27,1,3,0.5132,0.5016,111506,28.342,6.189,1
28,0,4,0.5176,0.5004,111479,34.993,6.620,1
29,1,9,0.5130,0.5001,111477,74.678,5.124,1
30,0,1,0.5053,0.4968,111443,10.803,5.705,1
31,1,6,0.5160,0.4991,111457,49.000,7.343,1
32,0,1,0.5079,0.4999,111476,11.456,5.904,1
33,1,4,0.5164,0.4977,111468,40.003,7.457,1
34,0,8,0.5169,0.5033,111515,72.445,6.796,1
35,1,1,0.5186,0.4998,111472,13.879,7.530,1
36,0,2,0.5140,0.5033,111520,21.993,6.882,1
37,1,3,0.5163,0.5001,111494,29.642,6.755,1
38,0,1,0.5133,0.5020,111494,10.095,6.612,1
39,1,1,0.5170,0.4969,111450,13.079,5.675,1
40,0,2,0.5153,0.5010,111502,17.679,5.314,1
41,1,5,0.5164,0.5002,111472,42.208,6.570,1
42,0,2,0.5132,0.5000,111468,21.031,6.119,1
43,1,1,0.5069,0.4984,111460,9.904,7.065,1
44,0,1,0.5112,0.4987,111478,13.196,6.399,1
45,1,1,0.5149,0.4975,111461,12.665,7.151,1
46,0,3,0.5170,0.5003,111489,28.529,5.536,1
47,1,2,0.5131,0.5037,111504,17.419,5.510,1
48,0,6,0.5202,0.5011,111507,48.784,6.726,1
49,1,1,0.5160,0.5007,111486,12.916,6.816,1
50,0,2,0.5141,0.5027,111520,20.943,6.869,1
51,1,12,0.5154,0.5004,111486,100.748,6.825,1
52,0,7,0.5172,0.4975,111466,60.177,7.028,1
53,1,1,0.5115,0.5010,111488,12.751,6.667,1
54,0,2,0.5129,0.5045,111519,20.779,6.386,1
55,1,1,0.5138,0.4987,111467,12.595,6.671,1
56,0,6,0.5110,0.4994,111488,53.062,6.678,1
57,1,6,0.5189,0.5022,111497,52.887,6.804,1
58,0,9,0.5145,0.5006,111502,69.271,5.579,1
59,1,3,0.5208,0.5018,111509,25.110,6.641,1
60,0,1,0.5104,0.5035,111539,12.195,6.908,1
61,1,3,0.5080,0.5007,111484,28.400,6.347,1
62,0,1,0.5173,0.5014,111509,12.650,6.549,1
63,1,7,0.5213,0.5025,111514,56.179,6.351,1
64,0,1,0.5156,0.4971,111460,12.326,6.706,1
65,1,2,0.5132,0.5011,111510,20.568,6.748,1
66,0,1,0.5150,0.4987,111472,12.990,6.831,1
67,1,1,0.5079,0.5030,111510,12.695,6.866,1
68,0,1,0.5070,0.4991,111474,12.663,6.529,1
69,1,2,0.5164,0.4988,111476,20.360,6.623,1
70,0,1,0.5098,0.4976,111467,9.755,4.811,1
71,1,1,0.5134,0.4996,111480,11.866,6.469,1
72,0,8,0.5210,0.5010,111501,63.996,6.321,1
73,1,2,0.5098,0.5034,111515,19.867,6.757,1
74,0,1,0.5114,0.4983,111474,12.758,6.404,1
