group,name,config,median,q1,q3,min,reps,unit,cpu,compiler,flags,commit,seed
micro,ntt_forward,log2q=42.0 d=7 mu=15,1.731000,1.706000,1.792500,1.692500,50,us,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
micro,product_ntt_domain,log2q=42.0 d=7 mu=15,6.773000,6.185000,7.074500,5.563500,50,us,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
micro,commitment (C r + m),log2q=42.0 d=7 mu=15,719.600081,712.599993,728.599906,700.999975,50,us,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
micro,gauss_vector sigma=1 (mu*N),log2q=42.0 d=7 mu=15,71.699977,70.999980,72.600007,69.700003,50,us,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
micro,gauss_vector sigma_J (mu*N),log2q=42.0 d=7 mu=15,192.000031,176.599979,212.100029,167.300105,50,us,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
micro,shake256_1KiB,log2q=42.0 d=7 mu=15,3.592500,3.361000,3.627000,3.133000,50,us,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
ballot,vote (incl. all attempts),T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0,19.786200,12.480800,28.911600,10.777700,50,ms,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
ballot,decode+verify,T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0,7.004700,6.441800,7.204300,5.451500,50,ms,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
ballot,check_share (one authority),T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0,0.839600,0.798000,0.866300,0.690000,50,ms,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
ballot,attempts (mean),T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0,2.340000,2.340000,2.340000,2.340000,1,count,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
ballot,ballot size,T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0,108.868164,108.853516,108.881836,108.811523,50,KiB,Intel64 Family 6 Model 183 Stepping 1; GenuineIntel,15.2.0,gcc_-O3_-march=native_mingw,d03fd81,1
