T-EVOLVE benchmarks | cpu: Intel64 Family 6 Model 183 Stepping 1; GenuineIntel | compiler: 15.2.0 | flags: gcc_-O3_-march=native_mingw | commit: d03fd81 | seed: 1
micro        ntt_forward                        log2q=42.0 d=7 mu=15                 1.7310 us     (IQR 1.7060-1.7925, n=50)
micro        product_ntt_domain                 log2q=42.0 d=7 mu=15                 6.7730 us     (IQR 6.1850-7.0745, n=50)
micro        commitment (C r + m)               log2q=42.0 d=7 mu=15               719.6001 us     (IQR 712.6000-728.5999, n=50)
micro        gauss_vector sigma=1 (mu*N)        log2q=42.0 d=7 mu=15                71.7000 us     (IQR 71.0000-72.6000, n=50)
micro        gauss_vector sigma_J (mu*N)        log2q=42.0 d=7 mu=15               192.0000 us     (IQR 176.6000-212.1000, n=50)
micro        shake256_1KiB                      log2q=42.0 d=7 mu=15                 3.5925 us     (IQR 3.3610-3.6270, n=50)
ballot       vote (incl. all attempts)          T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0        19.7862 ms     (IQR 12.4808-28.9116, n=50)
ballot       decode+verify                      T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         7.0047 ms     (IQR 6.4418-7.2043, n=50)
ballot       check_share (one authority)        T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         0.8396 ms     (IQR 0.7980-0.8663, n=50)
ballot       attempts (mean)                    T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         2.3400 count  (IQR 2.3400-2.3400, n=1)
ballot       ballot size                        T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0       108.8682 KiB    (IQR 108.8535-108.8818, n=50)
ballot         of which proof                   T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0        56.2354 KiB    (IQR 56.2207-56.2490, n=50)
ballot         of which commitments             T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0        52.5000 KiB    (IQR 52.5000-52.5000, n=50)
ballot       all verified                       T-EVOLVE n=4 t=3 L=1 w=-1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
ballot       vote (incl. all attempts)          T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0        28.2975 ms     (IQR 17.1184-48.8885, n=50)
ballot       decode+verify                      T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0         9.9060 ms     (IQR 9.6172-10.1259, n=50)
ballot       check_share (one authority)        T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0         1.0029 ms     (IQR 0.9686-1.0417, n=50)
ballot       attempts (mean)                    T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0         3.0200 count  (IQR 3.0200-3.0200, n=1)
ballot       ballot size                        T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0       138.0332 KiB    (IQR 138.0225-138.0400, n=50)
ballot         of which proof                   T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0        78.8379 KiB    (IQR 78.8271-78.8447, n=50)
ballot         of which commitments             T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0        59.0625 KiB    (IQR 59.0625-59.0625, n=50)
ballot       all verified                       T-EVOLVE n=4 t=3 L=2 w=1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
ballot       vote (incl. all attempts)          T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0        24.9316 ms     (IQR 16.6250-45.6860, n=50)
ballot       decode+verify                      T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0         8.0525 ms     (IQR 7.5474-8.3771, n=50)
ballot       check_share (one authority)        T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0         0.8521 ms     (IQR 0.8233-0.8858, n=50)
ballot       attempts (mean)                    T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0         3.2600 count  (IQR 3.2600-3.2600, n=1)
ballot       ballot size                        T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0       128.4492 KiB    (IQR 128.4404-128.4561, n=50)
ballot         of which proof                   T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0        65.2852 KiB    (IQR 65.2764-65.2920, n=50)
ballot         of which commitments             T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0        63.0000 KiB    (IQR 63.0000-63.0000, n=50)
ballot       all verified                       T-EVOLVE n=5 t=3 L=1 w=-1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
ballot       vote (incl. all attempts)          EVOLVE n=4 L=1 d=7 log2q=42.0         8.4119 ms     (IQR 6.1257-13.1688, n=50)
ballot       verify                             EVOLVE n=4 L=1 d=7 log2q=42.0         2.0983 ms     (IQR 2.0711-2.1299, n=50)
ballot       attempts (mean)                    EVOLVE n=4 L=1 d=7 log2q=42.0         2.8600 count  (IQR 2.8600-2.8600, n=1)
ballot       ballot size                        EVOLVE n=4 L=1 d=7 log2q=42.0        58.5947 KiB    (IQR 58.5898-58.5996, n=50)
ballot       all verified                       EVOLVE n=4 L=1 d=7 log2q=42.0         1.0000 bool   (IQR 1.0000-1.0000, n=1)
T-EVOLVE benchmarks | cpu: Intel64 Family 6 Model 183 Stepping 1; GenuineIntel | compiler: 15.2.0 | flags: gcc_-O3_-march=native_mingw | commit: d03fd81 | seed: 1
aggregation: fanin=30 k=500 ell=517 kappa=4 C2=signed logQ=64 E=6 (open 3, zero 3) nodes=1037
  T1=2^17.00 T2=2^17.09 sigma1=2^21.81 sigma2=2^21.90
agg          blocks E                           NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         6.0000 count  (IQR 6.0000-6.0000, n=1)
agg          rounds until t succeeded           NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.0000 count  (IQR 1.0000-1.0000, n=1)
agg          round 1 per authority per round    NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed        16.3263 s      (IQR 16.3263-16.3263, n=1)
agg          round 2 per authority per round    NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         3.6337 s      (IQR 3.6337-3.6337, n=1)
agg          round 2 per attempt                NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         1.6150 s      (IQR 1.6150-1.6150, n=1)
agg          round 1 per block per attempt      NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.6803 s      (IQR 0.6803-0.6803, n=1)
agg          round 2 per block per attempt      NV=1000 n=4 t=3 L=1 d=7 log2q=42.0 C2=signed         0.2692 s      (IQR 0.2692-0.2692, n=1)
